"Timestamp","What is your gender?","Which continent are you from/represents your current status? (Choose the region you currently live in. If unsure, just pick what feels closest)","What is your age range?","How long have you been reading manga?","How familiar are you with the manga?","In a relationship, which matters more to you?","Which team are you?"
"2025/06/18 6:32:59 PM MDT","Male","North America","25 - 34","5+ years","Finished the manga a while ago (3+ years ago)","Mutual support and growth","Team Rui"
"2025/06/18 6:33:48 PM MDT","Male","Europe (Including Russia)","18 - 24","5+ years","Finished the manga a while ago (3+ years ago)","Deep emotional connection","Team Hina"
"2025/06/18 6:34:57 PM MDT","Male","Europe (Including Russia)","18 - 24","5+ years","Finished the manga a while ago (3+ years ago)","Deep emotional connection","Team Hina"
"2025/06/18 6:38:15 PM MDT","Male","North America","18 - 24","1 - 2 years","Finished the manga recently (less than a year - 2 years ago)","Deep emotional connection","Team Rui"
"2025/06/18 6:40:07 PM MDT","Male","North America","25 - 34","5+ years","Finished the manga a while ago (3+ years ago)","Deep emotional connection","Team Hina"
"2025/06/18 6:46:43 PM MDT","Male","North America","25 - 34","5+ years","Finished the manga recently (less than a year - 2 years ago)","Deep emotional connection","Team Rui"
"2025/06/18 7:05:47 PM MDT","Male","North America","18 - 24","1 - 2 years","Finished the manga recently (less than a year - 2 years ago)","Deep emotional connection","Team Rui"
"2025/06/18 7:17:22 PM MDT","Male","Europe (Including Russia)","13 - 17","1 - 2 years","Finished the manga recently (less than a year - 2 years ago)","Mutual support and growth","Team Rui"
"2025/06/18 7:46:18 PM MDT","Male","North America","25 - 34","5+ years","Finished the manga a while ago (3+ years ago)","Exciting physical chemistry","Team Hina"
"2025/06/18 8:03:15 PM MDT","Male","North America","25 - 34","3 - 5 years","Finished the manga recently (less than a year - 2 years ago)","Stability and reliability","Team Hina"
"2025/06/18 10:23:22 PM MDT","Male","Europe (Including Russia)","13 - 17","3 - 5 years","Finished the manga a while ago (3+ years ago)","Deep emotional connection","Team Hina"
"2025/06/18 10:26:14 PM MDT","Male","North America","13 - 17","Less than a year","Finished the manga recently (less than a year - 2 years ago)","Mutual support and growth","Team Rui"
"2025/06/18 11:00:57 PM MDT","Male","North America","13 - 17","Less than a year","Finished the manga recently (less than a year - 2 years ago)","Deep emotional connection","Team Rui"
